price,location
250,chicago
9999,sfbay
250,chicago
68996,chicago
68996,chicago
32996,chicago
32996,chicago
19996,chicago
19996,chicago
20996,chicago
20996,chicago
32896,chicago
32896,chicago
23996,chicago
9999,sfbay
36999,sfbay
36999,sfbay
17999,sfbay
17999,sfbay
120,sfbay
120,sfbay
9999,sfbay
9999,sfbay
5,sfbay
5,sfbay
36999,sfbay
36999,sfbay
17999,sfbay
17999,sfbay
33016,sfbay
33016,sfbay
50,sfbay
3000,newyork
34999,philadelphia
3900,houston
23996,chicago
33996,chicago
33996,chicago
16596,chicago
16596,chicago
35996,chicago
35996,chicago
38996,chicago
38996,chicago
25996,chicago
25996,chicago
39996,chicago
5400,sandiego
16935,sanantonio
50,sfbay
5000,sfbay
5000,sfbay
17999,sfbay
17999,sfbay
13995,sfbay
13995,sfbay
29995,sfbay
29995,sfbay
23495,sfbay
23495,sfbay
42995,sfbay
42995,sfbay
100,sfbay
100,sfbay
25950,sfbay
25950,sfbay
20,sfbay
20,sfbay
3000,newyork
19999,newyork
19999,newyork
55,newyork
55,newyork
15000,newyork
15000,newyork
350,newyork
350,newyork
75,newyork
75,newyork
18000,newyork
18000,newyork
5800,newyork
5800,newyork
34999,philadelphia
304900,philadelphia
304900,philadelphia
25000,philadelphia
25000,philadelphia
22999,philadelphia
22999,philadelphia
3000,philadelphia
3000,philadelphia
3014,philadelphia
3014,philadelphia
42000,philadelphia
3900,houston
49995,houston
49995,houston
5500,houston
5500,houston
6500,houston
39996,chicago
59996,chicago
59996,chicago
38996,chicago
38996,chicago
22996,chicago
22996,chicago
22996,chicago
22996,chicago
29996,chicago
29996,chicago
28996,chicago
28996,chicago
38996,chicago
38996,chicago
48996,chicago
48996,chicago
53996,chicago
53996,chicago
5400,sandiego
400,sandiego
400,sandiego
17999,sandiego
17999,sandiego
500,sandiego
500,sandiego
575,sandiego
575,sandiego
149,sandiego
149,sandiego
125,sandiego
125,sandiego
3899,sandiego
16935,sanantonio
25995,sanantonio
25995,sanantonio
15000,sanantonio
15000,sanantonio
31988,sanantonio
31988,sanantonio
18995,sanantonio
18995,sanantonio
17995,sanantonio
17995,sanantonio
47995,sanantonio
47995,sanantonio
6999,sanantonio
